text,label
How's the Northern line running?,check_status
How's the Central line running?,check_status
Tell me a joke,fallback
"Umm, Stratford to Euston — how much?",get_price
Is the Victoria line running mate?,check_status
Engineering works anywhere?,disruptions
Can I get a haircut nearby?,fallback
Umm... next train from Waterloo please?,get_arrivals
What time does the next service leave Waterloo?,get_arrivals
Disruptions in the network now?,disruptions
Is the Bakerloo line delayed today?,check_status
How long till next train from Baker Street?,get_arrivals
Order me a pizza,fallback
Can you tell me when the train leaves Stratford?,get_arrivals
Tube status update — issues today?,disruptions
What time does the next service leave Baker Street?,get_arrivals
Anything broken on the Underground?,disruptions
Disruptions in the network now?,disruptions
Is it expensive to go from Oxford Circus to Paddington?,get_price
Tell me a joke,fallback
Disruptions in the network now?,disruptions
What's the fare between Baker Street and Victoria?,get_price
Any service disruptions today?,disruptions
What's the fare between Oxford Circus and Waterloo?,get_price
How long till next train from Liverpool Street?,get_arrivals
Any service disruptions today?,disruptions
Any train coming soon at Green Park?,get_arrivals
Any service disruptions today?,disruptions
Disruptions in the network now?,disruptions
Next arrival at Baker Street?,get_arrivals
Next arrival at Green Park?,get_arrivals
Any train coming soon at Paddington?,get_arrivals
Any service disruptions today?,disruptions
Any service disruptions today?,disruptions
How's the Metropolitan line running?,check_status
Sing me a song,fallback
Tell me a joke,fallback
Any service disruptions today?,disruptions
What's causing delays on the tube?,disruptions
Tell me a joke,fallback
"Hey, any update on Hammersmith & City line?",check_status
Cost to travel from Liverpool Street to Euston?,get_price
How's the Hammersmith & City line running?,check_status
Next arrival at Baker Street?,get_arrivals
Do aliens exist?,fallback
Is the District line delayed today?,check_status
Disruptions in the network now?,disruptions
Anything broken on the Underground?,disruptions
Can I take the Central line now?,check_status
How long till next train from Victoria?,get_arrivals
How much from Euston to Paddington?,get_price
Ticket price from Oxford Circus to Waterloo please?,get_price
Are there any strikes on?,disruptions
How much from King's Cross to Paddington?,get_price
Can I get a haircut nearby?,fallback
Is the Metropolitan line running mate?,check_status
Any service disruptions today?,disruptions
Ticket price from Liverpool Street to King's Cross please?,get_price
"Umm, Stratford to Paddington — how much?",get_price
Are there any strikes on?,disruptions
Cost to travel from Oxford Circus to Baker Street?,get_price
What's the fare between Waterloo and Victoria?,get_price
Can I take the Northern line now?,check_status
Is the Victoria line running mate?,check_status
What's the fare between King's Cross and Euston?,get_price
How tall is Big Ben?,fallback
What's the status of the Hammersmith & City line?,check_status
Order me a pizza,fallback
Can you tell me when the train leaves Green Park?,get_arrivals
How much from King's Cross to Baker Street?,get_price
How's the Piccadilly line running?,check_status
Can I take the Victoria line now?,check_status
Order me a pizza,fallback
Anything broken on the Underground?,disruptions
Is the Northern line running mate?,check_status
What's the fare between King's Cross and Victoria?,get_price
Tube status update — issues today?,disruptions
Is it expensive to go from Baker Street to Stratford?,get_price
"Hey, any update on District line?",check_status
Next arrival at King's Cross?,get_arrivals
What's the fare between King's Cross and Baker Street?,get_price
"Umm, Victoria to Paddington — how much?",get_price
Engineering works anywhere?,disruptions
Do aliens exist?,fallback
Anything broken on the Underground?,disruptions
What's the weather like?,fallback
Is it expensive to go from Waterloo to Victoria?,get_price
Cost to travel from Liverpool Street to Waterloo?,get_price
Anything broken on the Underground?,disruptions
Can you tell me when the train leaves Liverpool Street?,get_arrivals
Any issues on the Bakerloo line?,check_status
Tube status update — issues today?,disruptions
What's causing delays on the tube?,disruptions
Can I get a haircut nearby?,fallback
Is it expensive to go from Liverpool Street to Stratford?,get_price
Is it expensive to go from Baker Street to Stratford?,get_price
Is the Circle line running mate?,check_status
How tall is Big Ben?,fallback
Order me a pizza,fallback
Anything broken on the Underground?,disruptions
Do aliens exist?,fallback
When is the next train from Victoria?,get_arrivals
"Umm, King's Cross to Oxford Circus — how much?",get_price
What's causing delays on the tube?,disruptions
What's the status of the Bakerloo line?,check_status
Are there any strikes on?,disruptions
Sing me a song,fallback
What's the status of the Northern line?,check_status
Anything broken on the Underground?,disruptions
Is the Bakerloo line running mate?,check_status
Next arrival at Paddington?,get_arrivals
Tell me a joke,fallback
Cost to travel from Baker Street to Oxford Circus?,get_price
Disruptions in the network now?,disruptions
"Hey, what's the cost Oxford Circus to Victoria?",get_price
What's the weather like?,fallback
Anything broken on the Underground?,disruptions
When is the next train from Victoria?,get_arrivals
How tall is Big Ben?,fallback
Any service disruptions today?,disruptions
What's the fare between Paddington and Green Park?,get_price
How's the Northern line running?,check_status
"Hey, any update on Bakerloo line?",check_status
Any issues on the Piccadilly line?,check_status
Engineering works anywhere?,disruptions
What's the status of the Central line?,check_status
Book me a cab,fallback
Sing me a song,fallback
How tall is Big Ben?,fallback
Is the Northern line running mate?,check_status
What's the fare between Oxford Circus and Victoria?,get_price
Book me a cab,fallback
Ticket price from King's Cross to Paddington please?,get_price
Can I take the Bakerloo line now?,check_status
Is it expensive to go from King's Cross to Baker Street?,get_price
Any issues on the Northern line?,check_status
Is the Metropolitan line running mate?,check_status
Any service disruptions today?,disruptions
Can you tell me when the train leaves Baker Street?,get_arrivals
Any train coming soon at Oxford Circus?,get_arrivals
Any issues on the District line?,check_status
How much from King's Cross to Liverpool Street?,get_price
Ticket price from Euston to Waterloo please?,get_price
Engineering works anywhere?,disruptions
What's the fare between King's Cross and Green Park?,get_price
Umm... next train from Stratford please?,get_arrivals
What's the status of the Metropolitan line?,check_status
"Umm, Liverpool Street to Oxford Circus — how much?",get_price
Any issues on the Metropolitan line?,check_status
Tube status update — issues today?,disruptions
How's the Metropolitan line running?,check_status
What's causing delays on the tube?,disruptions
Can I get a haircut nearby?,fallback
How much from Paddington to Oxford Circus?,get_price
"Hey, what's the cost Oxford Circus to Victoria?",get_price
What's the weather like?,fallback
Next arrival at Victoria?,get_arrivals
Any issues on the Victoria line?,check_status
Disruptions in the network now?,disruptions
Order me a pizza,fallback
"Hey, any update on Bakerloo line?",check_status
What's the status of the Metropolitan line?,check_status
Anything broken on the Underground?,disruptions
"Hey, any update on Jubilee line?",check_status
Do aliens exist?,fallback
Can I take the Piccadilly line now?,check_status
How tall is Big Ben?,fallback
Any train coming soon at Paddington?,get_arrivals
Tell me a joke,fallback
Is the Metropolitan line delayed today?,check_status
Any issues on the Metropolitan line?,check_status
Umm... next train from Victoria please?,get_arrivals
Order me a pizza,fallback
Any train coming soon at King's Cross?,get_arrivals
Any issues on the Piccadilly line?,check_status
Ticket price from Euston to Liverpool Street please?,get_price
How's the Hammersmith & City line running?,check_status
Any train coming soon at Liverpool Street?,get_arrivals
"Hey, any update on Northern line?",check_status
How's the Metropolitan line running?,check_status
How's the Northern line running?,check_status
"Hey, what's the cost Oxford Circus to Victoria?",get_price
What's the status of the Jubilee line?,check_status
"Hey, any update on Circle line?",check_status
How much from Liverpool Street to Paddington?,get_price
Can I get a haircut nearby?,fallback
Is it expensive to go from Oxford Circus to King's Cross?,get_price
Can you tell me when the train leaves Oxford Circus?,get_arrivals
Any service disruptions today?,disruptions
Next arrival at Euston?,get_arrivals
Order me a pizza,fallback
"Umm, Victoria to Euston — how much?",get_price
Can I get a haircut nearby?,fallback
What's the status of the Bakerloo line?,check_status
Cost to travel from Green Park to Baker Street?,get_price
Umm... next train from Oxford Circus please?,get_arrivals
"Umm, Liverpool Street to Baker Street — how much?",get_price
Tell me a joke,fallback
"Hey, any update on District line?",check_status
"Umm, Baker Street to Liverpool Street — how much?",get_price
What's causing delays on the tube?,disruptions
Tube status update — issues today?,disruptions
What's the weather like?,fallback
What time does the next service leave King's Cross?,get_arrivals
Anything broken on the Underground?,disruptions
When is the next train from Liverpool Street?,get_arrivals
Can I take the Piccadilly line now?,check_status
How's the Victoria line running?,check_status
Book me a cab,fallback
Order me a pizza,fallback
What's the fare between Victoria and King's Cross?,get_price
Umm... next train from King's Cross please?,get_arrivals
Sing me a song,fallback
Can I take the Jubilee line now?,check_status
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Order me a pizza,fallback
Can you tell me when the train leaves Victoria?,get_arrivals
Umm... next train from Stratford please?,get_arrivals
Any issues on the Bakerloo line?,check_status
Can you tell me when the train leaves Waterloo?,get_arrivals
When is the next train from Euston?,get_arrivals
"Hey, what's the cost Oxford Circus to Victoria?",get_price
"Hey, any update on Piccadilly line?",check_status
How's the Jubilee line running?,check_status
Anything broken on the Underground?,disruptions
What time does the next service leave Waterloo?,get_arrivals
What's the weather like?,fallback
Any issues on the Bakerloo line?,check_status
Disruptions in the network now?,disruptions
Sing me a song,fallback
What's the status of the Hammersmith & City line?,check_status
Anything broken on the Underground?,disruptions
Can I take the Victoria line now?,check_status
Any issues on the Central line?,check_status
What's causing delays on the tube?,disruptions
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Order me a pizza,fallback
"Hey, what's the cost Oxford Circus to Victoria?",get_price
What's the status of the Circle line?,check_status
Order me a pizza,fallback
Sing me a song,fallback
What's causing delays on the tube?,disruptions
How tall is Big Ben?,fallback
What's causing delays on the tube?,disruptions
How's the Circle line running?,check_status
How's the Central line running?,check_status
Anything broken on the Underground?,disruptions
Order me a pizza,fallback
How tall is Big Ben?,fallback
Ticket price from Liverpool Street to Stratford please?,get_price
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Are there any strikes on?,disruptions
Cost to travel from Paddington to Green Park?,get_price
What's causing delays on the tube?,disruptions
Sing me a song,fallback
Umm... next train from Victoria please?,get_arrivals
When is the next train from Stratford?,get_arrivals
Any service disruptions today?,disruptions
Any train coming soon at Baker Street?,get_arrivals
Ticket price from Stratford to Paddington please?,get_price
Can you tell me when the train leaves Oxford Circus?,get_arrivals
How long till next train from Stratford?,get_arrivals
Disruptions in the network now?,disruptions
"Hey, any update on Bakerloo line?",check_status
Can I take the Circle line now?,check_status
Ticket price from Liverpool Street to Paddington please?,get_price
"Hey, any update on Circle line?",check_status
Ticket price from Waterloo to Euston please?,get_price
How much from Oxford Circus to Stratford?,get_price
Can you tell me when the train leaves Green Park?,get_arrivals
Any issues on the Central line?,check_status
How long till next train from Stratford?,get_arrivals
Any service disruptions today?,disruptions
How long till next train from Paddington?,get_arrivals
Umm... next train from Green Park please?,get_arrivals
Next arrival at Victoria?,get_arrivals
Disruptions in the network now?,disruptions
Any service disruptions today?,disruptions
What time does the next service leave Stratford?,get_arrivals
Any issues on the Jubilee line?,check_status
How much from Baker Street to Stratford?,get_price
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Any issues on the Metropolitan line?,check_status
How much from Green Park to Waterloo?,get_price
Tube status update — issues today?,disruptions
"Hey, what's the cost Oxford Circus to Victoria?",get_price
When is the next train from Baker Street?,get_arrivals
What's causing delays on the tube?,disruptions
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Can I take the Circle line now?,check_status
How's the Circle line running?,check_status
Book me a cab,fallback
Do aliens exist?,fallback
"Hey, any update on Bakerloo line?",check_status
Any service disruptions today?,disruptions
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Umm... next train from Liverpool Street please?,get_arrivals
Tell me a joke,fallback
Any service disruptions today?,disruptions
How much from Victoria to Paddington?,get_price
Are there any strikes on?,disruptions
What's the status of the Metropolitan line?,check_status
Any service disruptions today?,disruptions
Are there any strikes on?,disruptions
Anything broken on the Underground?,disruptions
Disruptions in the network now?,disruptions
Tell me a joke,fallback
Tube status update — issues today?,disruptions
Ticket price from Stratford to Oxford Circus please?,get_price
Any service disruptions today?,disruptions
Umm... next train from King's Cross please?,get_arrivals
Cost to travel from Euston to Waterloo?,get_price
Is it expensive to go from King's Cross to Victoria?,get_price
Any train coming soon at Paddington?,get_arrivals
What's the weather like?,fallback
What's the status of the Northern line?,check_status
Next arrival at King's Cross?,get_arrivals
What's the fare between Stratford and Waterloo?,get_price
"Hey, what's the cost Oxford Circus to Victoria?",get_price
How much from Stratford to Waterloo?,get_price
Can you tell me when the train leaves Euston?,get_arrivals
Cost to travel from Baker Street to Victoria?,get_price
What's the weather like?,fallback
Any service disruptions today?,disruptions
Is it expensive to go from Victoria to Liverpool Street?,get_price
When is the next train from Baker Street?,get_arrivals
How much from Green Park to Victoria?,get_price
How long till next train from Paddington?,get_arrivals
How long till next train from Stratford?,get_arrivals
How long till next train from Liverpool Street?,get_arrivals
Next arrival at Baker Street?,get_arrivals
"Hey, any update on Metropolitan line?",check_status
Is the District line running mate?,check_status
Next arrival at Stratford?,get_arrivals
Any train coming soon at Baker Street?,get_arrivals
"Hey, any update on Circle line?",check_status
Any service disruptions today?,disruptions
Can you tell me when the train leaves Green Park?,get_arrivals
Any issues on the Jubilee line?,check_status
Can you tell me when the train leaves Paddington?,get_arrivals
Is the Jubilee line running mate?,check_status
What's the fare between Oxford Circus and Green Park?,get_price
Anything broken on the Underground?,disruptions
Disruptions in the network now?,disruptions
Can you tell me when the train leaves Liverpool Street?,get_arrivals
Tell me a joke,fallback
Tube status update — issues today?,disruptions
Can I get a haircut nearby?,fallback
Anything broken on the Underground?,disruptions
How much from Victoria to Euston?,get_price
How's the Central line running?,check_status
When is the next train from Oxford Circus?,get_arrivals
Is the Piccadilly line running mate?,check_status
Tube status update — issues today?,disruptions
When is the next train from Paddington?,get_arrivals
Tube status update — issues today?,disruptions
"Umm, Stratford to King's Cross — how much?",get_price
Order me a pizza,fallback
What's the status of the Piccadilly line?,check_status
Do aliens exist?,fallback
"Hey, any update on Bakerloo line?",check_status
Disruptions in the network now?,disruptions
Anything broken on the Underground?,disruptions
When is the next train from Green Park?,get_arrivals
Any train coming soon at Victoria?,get_arrivals
Order me a pizza,fallback
Any train coming soon at Liverpool Street?,get_arrivals
What's the fare between Euston and Green Park?,get_price
"Hey, what's the cost Oxford Circus to Victoria?",get_price
"Umm, Baker Street to Liverpool Street — how much?",get_price
Can I get a haircut nearby?,fallback
Is the Bakerloo line running mate?,check_status
Is the Hammersmith & City line running mate?,check_status
Can you tell me when the train leaves Baker Street?,get_arrivals
Any service disruptions today?,disruptions
"Hey, any update on Central line?",check_status
What's the weather like?,fallback
Disruptions in the network now?,disruptions
Engineering works anywhere?,disruptions
What's the fare between Stratford and Oxford Circus?,get_price
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Order me a pizza,fallback
"Hey, what's the cost Oxford Circus to Victoria?",get_price
"Umm, Green Park to Paddington — how much?",get_price
Ticket price from Waterloo to Euston please?,get_price
Tube status update — issues today?,disruptions
Engineering works anywhere?,disruptions
How long till next train from Stratford?,get_arrivals
Engineering works anywhere?,disruptions
What's the fare between Stratford and King's Cross?,get_price
How's the Bakerloo line running?,check_status
"Umm, Oxford Circus to Liverpool Street — how much?",get_price
Is it expensive to go from Liverpool Street to Victoria?,get_price
What time does the next service leave Euston?,get_arrivals
Can I take the District line now?,check_status
What's the status of the Piccadilly line?,check_status
What time does the next service leave Waterloo?,get_arrivals
Next arrival at King's Cross?,get_arrivals
How's the Bakerloo line running?,check_status
What's the fare between Paddington and Green Park?,get_price
Can I take the District line now?,check_status
How long till next train from Oxford Circus?,get_arrivals
Any service disruptions today?,disruptions
Is the Northern line delayed today?,check_status
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Ticket price from Stratford to Waterloo please?,get_price
Can I take the District line now?,check_status
How's the Hammersmith & City line running?,check_status
Any service disruptions today?,disruptions
Anything broken on the Underground?,disruptions
Is the Hammersmith & City line running mate?,check_status
Is the Hammersmith & City line running mate?,check_status
Is the Jubilee line delayed today?,check_status
"Hey, what's the cost Oxford Circus to Victoria?",get_price
"Umm, Green Park to Stratford — how much?",get_price
Is the Hammersmith & City line running mate?,check_status
What's causing delays on the tube?,disruptions
Book me a cab,fallback
What's causing delays on the tube?,disruptions
Next arrival at King's Cross?,get_arrivals
Anything broken on the Underground?,disruptions
Can I get a haircut nearby?,fallback
Ticket price from Baker Street to Waterloo please?,get_price
Are there any strikes on?,disruptions
When is the next train from Euston?,get_arrivals
"Hey, what's the cost Oxford Circus to Victoria?",get_price
How tall is Big Ben?,fallback
What's causing delays on the tube?,disruptions
What's the status of the District line?,check_status
Can I get a haircut nearby?,fallback
Tube status update — issues today?,disruptions
"Hey, any update on Circle line?",check_status
Tube status update — issues today?,disruptions
Are there any strikes on?,disruptions
Disruptions in the network now?,disruptions
Do aliens exist?,fallback
Book me a cab,fallback
How long till next train from Baker Street?,get_arrivals
What's the status of the Piccadilly line?,check_status
Disruptions in the network now?,disruptions
What's the fare between Waterloo and Stratford?,get_price
Any train coming soon at Stratford?,get_arrivals
Is the Northern line running mate?,check_status
Umm... next train from Victoria please?,get_arrivals
Can I get a haircut nearby?,fallback
What time does the next service leave Green Park?,get_arrivals
Do aliens exist?,fallback
"Hey, what's the cost Oxford Circus to Victoria?",get_price
How's the Bakerloo line running?,check_status
Order me a pizza,fallback
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Are there any strikes on?,disruptions
Cost to travel from Liverpool Street to Euston?,get_price
Umm... next train from Baker Street please?,get_arrivals
"Umm, Euston to King's Cross — how much?",get_price
Tube status update — issues today?,disruptions
Next arrival at Euston?,get_arrivals
Next arrival at King's Cross?,get_arrivals
What's the fare between Victoria and Liverpool Street?,get_price
Tube status update — issues today?,disruptions
Tube status update — issues today?,disruptions
Can you tell me when the train leaves Oxford Circus?,get_arrivals
Can I get a haircut nearby?,fallback
How long till next train from Waterloo?,get_arrivals
Any service disruptions today?,disruptions
Any service disruptions today?,disruptions
What's the weather like?,fallback
Tell me a joke,fallback
Is the Northern line running mate?,check_status
Order me a pizza,fallback
Ticket price from Paddington to Stratford please?,get_price
What's the fare between Baker Street and Green Park?,get_price
What's the weather like?,fallback
Sing me a song,fallback
Are there any strikes on?,disruptions
Book me a cab,fallback
Any service disruptions today?,disruptions
What's the weather like?,fallback
Are there any strikes on?,disruptions
Can you tell me when the train leaves Waterloo?,get_arrivals
Disruptions in the network now?,disruptions
"Umm, Liverpool Street to Stratford — how much?",get_price
Can I get a haircut nearby?,fallback
"Umm, Liverpool Street to Baker Street — how much?",get_price
How tall is Big Ben?,fallback
Ticket price from Victoria to Oxford Circus please?,get_price
"Umm, King's Cross to Euston — how much?",get_price
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Cost to travel from King's Cross to Euston?,get_price
What's the status of the Piccadilly line?,check_status
Tube status update — issues today?,disruptions
Any service disruptions today?,disruptions
Is it expensive to go from Victoria to Green Park?,get_price
What's causing delays on the tube?,disruptions
Can I take the Northern line now?,check_status
Can I take the Victoria line now?,check_status
Do aliens exist?,fallback
Is it expensive to go from Baker Street to Stratford?,get_price
"Hey, any update on Northern line?",check_status
What's the status of the Hammersmith & City line?,check_status
What's the fare between Liverpool Street and Stratford?,get_price
"Hey, what's the cost Oxford Circus to Victoria?",get_price
What time does the next service leave Euston?,get_arrivals
Tell me a joke,fallback
Cost to travel from Oxford Circus to King's Cross?,get_price
Is the Northern line running mate?,check_status
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Disruptions in the network now?,disruptions
Can I take the Hammersmith & City line now?,check_status
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Can you tell me when the train leaves Liverpool Street?,get_arrivals
Are there any strikes on?,disruptions
What's the weather like?,fallback
Can you tell me when the train leaves Euston?,get_arrivals
Book me a cab,fallback
What's the fare between Stratford and Oxford Circus?,get_price
Order me a pizza,fallback
Book me a cab,fallback
"Umm, Waterloo to Euston — how much?",get_price
What time does the next service leave Baker Street?,get_arrivals
How long till next train from Waterloo?,get_arrivals
Can I take the Victoria line now?,check_status
What's the weather like?,fallback
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Tube status update — issues today?,disruptions
"Umm, Paddington to Victoria — how much?",get_price
Is the Jubilee line running mate?,check_status
What time does the next service leave King's Cross?,get_arrivals
Anything broken on the Underground?,disruptions
Any train coming soon at Oxford Circus?,get_arrivals
How's the Piccadilly line running?,check_status
Tube status update — issues today?,disruptions
Can I take the Metropolitan line now?,check_status
Can I take the Hammersmith & City line now?,check_status
Any service disruptions today?,disruptions
What time does the next service leave Paddington?,get_arrivals
What time does the next service leave Waterloo?,get_arrivals
Is the Piccadilly line delayed today?,check_status
"Hey, any update on Bakerloo line?",check_status
What's the status of the Northern line?,check_status
Cost to travel from Liverpool Street to Euston?,get_price
Can I get a haircut nearby?,fallback
How much from Euston to Green Park?,get_price
Sing me a song,fallback
Can I take the Jubilee line now?,check_status
Sing me a song,fallback
Can I get a haircut nearby?,fallback
Tube status update — issues today?,disruptions
Is the Jubilee line running mate?,check_status
Order me a pizza,fallback
Sing me a song,fallback
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Are there any strikes on?,disruptions
Can I take the Central line now?,check_status
When is the next train from Oxford Circus?,get_arrivals
Book me a cab,fallback
"Umm, King's Cross to Stratford — how much?",get_price
Is it expensive to go from Liverpool Street to Green Park?,get_price
Is it expensive to go from Paddington to Waterloo?,get_price
What time does the next service leave Victoria?,get_arrivals
Are there any strikes on?,disruptions
Do aliens exist?,fallback
Engineering works anywhere?,disruptions
How's the Piccadilly line running?,check_status
Order me a pizza,fallback
Engineering works anywhere?,disruptions
Can you tell me when the train leaves Waterloo?,get_arrivals
Can I get a haircut nearby?,fallback
Are there any strikes on?,disruptions
What's the fare between Oxford Circus and Green Park?,get_price
What time does the next service leave Victoria?,get_arrivals
When is the next train from King's Cross?,get_arrivals
How long till next train from Oxford Circus?,get_arrivals
Is it expensive to go from Victoria to Waterloo?,get_price
Any issues on the Victoria line?,check_status
Is it expensive to go from Oxford Circus to Victoria?,get_price
Next arrival at Euston?,get_arrivals
Can I take the Victoria line now?,check_status
Ticket price from Euston to Baker Street please?,get_price
"Hey, what's the cost Oxford Circus to Victoria?",get_price
Book me a cab,fallback
Is the Circle line delayed today?,check_status
What time does the next service leave Baker Street?,get_arrivals
Can you tell me when the train leaves Waterloo?,get_arrivals
What's the weather like?,fallback
Any service disruptions today?,disruptions
Are there any strikes on?,disruptions
Engineering works anywhere?,disruptions
What's the weather like?,fallback
Tube status update — issues today?,disruptions
What's causing delays on the tube?,disruptions
How's the Jubilee line running?,check_status
Sing me a song,fallback
How tall is Big Ben?,fallback
Umm... next train from King's Cross please?,get_arrivals
"Umm, Euston to Victoria — how much?",get_price
Anything broken on the Underground?,disruptions
Order me a pizza,fallback
Umm... next train from Baker Street please?,get_arrivals
What's causing delays on the tube?,disruptions
Engineering works anywhere?,disruptions
Book me a cab,fallback
Is the Metropolitan line running mate?,check_status
Can I get a haircut nearby?,fallback
Anything broken on the Underground?,disruptions
Ticket price from Euston to Baker Street please?,get_price
How tall is Big Ben?,fallback
Any service disruptions today?,disruptions
What's causing delays on the tube?,disruptions
How's the Circle line running?,check_status
How's the Victoria line running?,check_status
"Hey, what's the cost Oxford Circus to Victoria?",get_price
What's the fare between Oxford Circus and King's Cross?,get_price
Can I take the District line now?,check_status
How much from Liverpool Street to Victoria?,get_price
"Umm, Paddington to Waterloo — how much?",get_price
How long till next train from Victoria?,get_arrivals
Any service disruptions today?,disruptions
Umm... next train from Victoria please?,get_arrivals
Tube status update — issues today?,disruptions
"Hey, any update on Central line?",check_status
Is the Jubilee line running mate?,check_status
Order me a pizza,fallback
Any service disruptions today?,disruptions
"Umm, Victoria to Paddington — how much?",get_price
Anything broken on the Underground?,disruptions
How's the Victoria line running?,check_status
Umm... next train from Stratford please?,get_arrivals
"Hey, any update on Hammersmith & City line?",check_status
How's the Piccadilly line running?,check_status
Umm... next train from King's Cross please?,get_arrivals
What's the fare between King's Cross and Green Park?,get_price
Engineering works anywhere?,disruptions
How's the Central line running?,check_status
Engineering works anywhere?,disruptions
"Hey, any update on Circle line?",check_status
Next arrival at Euston?,get_arrivals
Disruptions in the network now?,disruptions
Is the Hammersmith & City line running mate?,check_status
Anything broken on the Underground?,disruptions
Disruptions in the network now?,disruptions
Anything broken on the Underground?,disruptions
Do aliens exist?,fallback
How tall is Big Ben?,fallback
Umm... next train from King's Cross please?,get_arrivals
What's the weather like?,fallback
Engineering works anywhere?,disruptions
Is the Victoria line running mate?,check_status
"Umm, King's Cross to Oxford Circus — how much?",get_price
Can you tell me when the train leaves Victoria?,get_arrivals
Book me a cab,fallback
Are there any strikes on?,disruptions
When is the next train from King's Cross?,get_arrivals
What's the weather like?,fallback
Cost to travel from Stratford to Waterloo?,get_price
Anything broken on the Underground?,disruptions
Is the Metropolitan line running mate?,check_status
Are there any strikes on?,disruptions
What's the weather like?,fallback
How's the Victoria line running?,check_status
How much from Liverpool Street to Baker Street?,get_price
Order me a pizza,fallback
Can you tell me when the train leaves Paddington?,get_arrivals
Tube status update — issues today?,disruptions
Is the Bakerloo line running mate?,check_status
What's causing delays on the tube?,disruptions
Book me a cab,fallback
Can I get a haircut nearby?,fallback
Engineering works anywhere?,disruptions
Tube status update — issues today?,disruptions
What's the fare between Victoria and Oxford Circus?,get_price
How tall is Big Ben?,fallback
Do aliens exist?,fallback
Order me a pizza,fallback
Order me a pizza,fallback
